N,date_full,wday,REGION_NAIMENOVANIE,NOMENKLATURA_EKTU_PODGRUPPA,NOMENKLATURNAYA_GRUPPA_NAIMENOVANIE,Сумма кол-во СТиУ,Сумма выручка
0,2021-01-20,3,Алтайский край,FOOD,БАДы,9.363035148336003,419.59008227297625
1,2021-01-25,1,Санкт-Петербург г.,Прочие услуги,Услуги мойки,494.1684128654351,285093.7650059975
2,2021-01-13,3,Республика Башкортостан,NON-FOOD,СОЖ,3.4495668923501484,1419.3936457589975
3,2021-02-18,4,Вологодская область,NON-FOOD,"Автохимия и автокосметика (кроме масел, смазок и СОЖ)",23.03746498049856,6634.886389034162
4,2021-02-20,6,Иркутская область,NON-FOOD,"Автомобильные масла и смазки пластичные ""Газпром нефть"" (фасованные)",21.022753476733946,13608.451020468163
5,2021-02-21,7,Республика Мордовия,FOOD,Энергетические напитки,56.43801361593899,8380.54384365958
6,2021-03-05,5,Пермский край,FOOD,"Сладкие газированные напитки, холодный чай",223.05124857436766,32219.737461011453
7,2021-04-06,2,Чувашская республика - Чувашия,FOOD,Соки и сокосодержащие напитки,19.05239155382605,2708.2536288664983
8,2021-04-12,1,Санкт-Петербург г.,FOOD,Кондитерские изделия,4170.698631257823,565559.3681835008
9,2021-04-12,1,Тюменская область,FOOD,Пиво,8.2568926619642,577.6854271680231
10,2021-04-18,7,Челябинская область,NON-FOOD,Автотовары,123.55736349111596,75567.61780780494
11,2021-04-19,1,Ленинградская область,NON-FOOD,Уход за автомобилем,185.98294692980707,40972.16534941028
12,2021-04-14,3,Вологодская область,FOOD,Кондитерские изделия,80.29254287868136,9027.410574739448
13,2021-04-21,3,Ямало-Ненецкий автономный округ,NON-FOOD,"Автохимия и автокосметика (кроме масел, смазок и СОЖ)",127.96533165386191,109569.58760080519
14,2021-04-24,6,Республика Адыгея (Адыгея),FOOD,Энергетические напитки,296.1171671077422,64396.5749100861
15,2021-05-01,6,Курганская область,NON-FOOD,Сезонные товары,11.999893723092494,875.0496721203066
16,2021-05-04,2,Санкт-Петербург г.,NON-FOOD,Сезонные товары,197.74302810128864,184450.22161267663
17,2021-05-22,6,Республика Адыгея (Адыгея),FOOD,Бакалея,18.178777205812345,1716.7532345647926
18,2021-05-25,2,Республика Башкортостан,FOOD,Энергетические напитки,41.074941260126835,6566.434286759559
19,2021-06-03,4,Самарская область,FOOD,"Сладкие газированные напитки, холодный чай",733.710542418965,106093.00962647199
20,2021-06-03,4,Воронежская область,FOOD,Гастроном,239.06734105743502,34789.4606391416
21,2021-06-15,2,Самарская область,FOOD,Кондитерские изделия,1364.8143651811138,155788.16865341528
22,2021-06-24,4,Республика Башкортостан,FOOD,Гастроном,57.250669685193955,7426.769500842888
23,2021-06-27,7,Новгородская область,FOOD,Энергетические напитки,553.0854973722224,87550.35952975304
24,2021-07-01,4,Республика Алтай,NON-FOOD,Автомобильные масла и смазки пластичные (фасованные),10.512021623223198,2523.109906779629
25,2021-07-21,3,Псковская область,NON-FOOD,"Автохимия и автокосметика (кроме масел, смазок и СОЖ)",22.162070667618433,8463.232311611939
26,2021-07-24,6,Санкт-Петербург г.,FOOD,Спортивные напитки,138.8968501804194,24754.71649013815
27,2021-07-25,7,Вологодская область,NON-FOOD,Уход за автомобилем,33.699026505926255,4873.802224218752
28,2021-07-26,1,Смоленская область,FOOD,Вода,320.2852804372539,34030.91559212525
29,2021-07-28,3,Республика Татарстан (Татарстан),FOOD,Снеки,12.815648566367905,1958.8519642810852
30,2021-08-09,1,Кемеровская область-Кузбасс,NON-FOOD,"Хозяйственные товары, персональный уход",871.6507091915511,214348.34752600009
31,2021-08-13,5,Рязанская область,CAFÉ,Кофейные напитки с молоком,2295.559856579975,570375.3638582343
32,2021-08-20,5,Республика Алтай,NON-FOOD,"Хозяйственные товары, персональный уход",45.15085713881184,5623.55280611225
33,2021-09-10,5,Омская область,NON-FOOD,Автотовары,185.90108118638014,109718.00549542399
34,2021-09-10,5,Ярославская область,NON-FOOD,Очки для водителя,11.006968707032748,8404.979378591768
35,2021-09-23,4,Свердловская область,FOOD,Спортивные напитки,54.767107761525146,9029.577990293534
36,2021-09-28,2,Липецкая область,FOOD,"Сладкие газированные напитки, холодный чай",55.29328312380585,8282.212852492366
37,2021-09-28,2,Смоленская область,CAFÉ,Прочие напитки кафе,239.43076032000258,47405.79058023883
38,2021-10-04,1,Краснодарский край,FOOD,Спортивные напитки,14.137462927896298,2336.2751636178723
39,2021-09-24,5,Республика Алтай,NON-FOOD,"Автомобильные масла и смазки пластичные ""Газпром нефть"" (фасованные)",22.637134376496032,18134.664189793602
40,2021-09-25,6,Республика Башкортостан,NON-FOOD,Уход за автомобилем,9.75699625973678,1328.6148185334903
41,2021-10-29,5,Республика Карелия,FOOD,Гастроном,7.155880330555744,254.25329107497782
42,2021-11-09,2,Республика Алтай,FOOD,Вода,77.95586819245173,7530.6252522099085
43,2021-11-21,7,Ленинградская область,NON-FOOD,Автомобильные масла и смазки пластичные (фасованные),36.96402134310119,61081.37123521753
44,2021-11-20,6,Пермский край,FOOD,Снеки,107.73084368303346,17427.828592166585
45,2021-11-20,6,Челябинская область,NON-FOOD,Карты лояльности,95.91720165744725,30957.20807974561
46,2021-11-22,1,Алтайский край,NON-FOOD,СОЖ,234.5436024085576,179253.71340984598
47,2021-12-04,6,Тюменская область,NON-FOOD,"Автомобильные масла и смазки пластичные ""Газпром нефть"" (фасованные)",160.84402724624172,112107.28161152554
48,2021-12-11,6,Липецкая область,NON-FOOD,Карты лояльности,17.740503100141655,4503.745987934202
49,2021-12-21,2,Курганская область,FOOD,"Сладкие газированные напитки, холодный чай",187.56253291867867,28848.70971226799
50,2021-12-16,4,Пермский край,Прочие услуги,Услуги АЗС/АЗК,77.78453679052726,3.389183638015898
51,2022-01-04,2,Кемеровская область-Кузбасс,CAFÉ,Общественное питание,3267.031840340775,626029.904269608
52,2022-01-04,2,Республика Татарстан (Татарстан),Прочие услуги,Услуги АЗС/АЗК,5.457713917769711,10.186751818923396
53,2022-01-03,1,Ханты-Мансийский автономный округ - Югра,FOOD,БАДы,9.977950310050847,623.0930754050306
54,2022-01-11,2,Пензенская область,FOOD,Кондитерские изделия,102.49188502138638,13060.139744940649
55,2022-01-11,2,Тульская область,CAFÉ,Кофейные напитки с молоком,255.7100268461655,65443.757621901605
56,2022-01-12,3,Москва г,FOOD,Спортивные напитки,84.56721181893457,15605.223021202539
57,2022-01-18,2,Новосибирская область,FOOD,Спортивные напитки,44.17616596663348,6920.571818262556
58,2022-01-25,2,Липецкая область,FOOD,Соки и сокосодержащие напитки,23.092633259049244,1964.356547392152
59,2022-01-14,5,Псковская область,NON-FOOD,Карты лояльности,5.322410229221271,1695.6646465017816
60,2022-01-31,1,Пензенская область,NON-FOOD,Автотовары,6.302775059118103,708.8937696830454
61,2022-03-05,6,Санкт-Петербург г.,FOOD,Бакалея,204.58185071091557,19220.836653872597
62,2022-03-21,1,Кемеровская область-Кузбасс,FOOD,Энергетические напитки,2183.2700299788426,319174.12093674374
63,2022-03-21,1,Тверская область,FOOD,Бакалея,32.20850674780928,3250.5654931739073
64,2022-03-24,4,Кемеровская область-Кузбасс,FOOD,Гастроном,390.4342447864277,60780.586580729665
65,2022-03-28,1,Нижегородская область,FOOD,Соки и сокосодержащие напитки,118.52328149707822,17895.93264601649
66,2022-04-24,7,Калининградская область,FOOD,"Сладкие газированные напитки, холодный чай",84.95421314405716,15024.190133373406
67,2022-05-18,3,Ленинградская область,FOOD,Спортивные напитки,31.091900474420502,5369.209337666881
68,2022-05-23,1,Республика Адыгея (Адыгея),FOOD,Кондитерские изделия,516.6118031980967,79052.75413702056
69,2022-05-23,1,Ямало-Ненецкий автономный округ,NON-FOOD,"Хозяйственные товары, персональный уход",198.81224014958647,36244.85762701896
70,2022-05-31,2,Тульская область,FOOD,"Сладкие газированные напитки, холодный чай",198.39329851806082,38041.47981104836
71,2022-06-07,2,Тюменская область,NON-FOOD,"Автомобильные масла и смазки пластичные ""Газпром нефть"" (фасованные)",128.61710180789245,171996.26774365036
72,2022-06-08,3,Иркутская область,FOOD,Вода,329.3322029713585,31487.69506286373
73,2022-06-20,1,Тверская область,NON-FOOD,СОЖ,18.578992831858045,7703.98102199797
74,2022-07-01,5,Республика Мордовия,FOOD,Табачные изделия,530.0930054327399,125472.4371776466
75,2022-07-01,5,Московская область,NON-FOOD,СОЖ,283.7565626494495,123503.29492848914
76,2022-07-01,5,Республика Хакасия,CAFÉ,Общественное питание,442.76107195160665,102429.79961019527
77,2022-07-01,5,Республика Алтай,NON-FOOD,"Автохимия и автокосметика (кроме масел, смазок и СОЖ)",9.528457321594994,4752.019576000114
78,2022-06-25,6,Республика Башкортостан,NON-FOOD,Автотовары,8.200994624083274,1552.6036854319334
79,2022-07-05,2,Псковская область,NON-FOOD,Карты лояльности,13.172329750069283,3383.7467220732683
80,2022-07-18,1,Пензенская область,CAFÉ,Общественное питание,278.6607009548602,76814.75063470563
81,2022-07-27,3,Республика Адыгея (Адыгея),CAFÉ,Прочие напитки кафе,708.3742429645803,172377.3032601304
